,Years up,Div yield,Sector,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change
PYCR,0,,Technology,13360004.550425211,19.33886628129579,60.14529000655296,25.674683470499502,3.0,3551779840.0,-0.48,-41.66666666666667,-13.416862607191703
PYPL,1,,Financial Services,1333044110.4803467,13.360042644419789,53.373245516000885,8.6141596712495,9.0,67944386560.0,3.35,18.811940298507462,9.932040818381266
PZZA,1,2.39,Consumer Cyclical,61754011.75567627,7.850987670781839,19.439057895498085,7.848421695978397,31.0,2521221632.0,2.35,32.7531914893617,20.914963036511303
QBTS,0,,Technology,999903.5137327512,17.961991244347164,71.2155756543171,0.2649617528291015,4.0,120745640.0,-0.61,-1.2377049180327868,-43.297522773371014
QCOM,2,2.07,Technology,1260631030.0,18.455820976706608,57.92919541451374,15.231310507637444,33.0,172408143872.0,6.51,23.712749615975422,27.882021517564898
QD,0,,Financial Services,2216411.312405268,-60.11815762852277,64.07328500802173,-68.84552725297081,7.0,463291936.0,0.13,15.846153846153847,4.34332699896323
QDEL,0,,Healthcare,36713566.66320801,47.24928898663858,71.90275204773994,23.110206660387604,33.0,4676640768.0,-0.27,-259.2222222222222,23.551371676650408
QFIN,0,5.4399999999999995,Financial Services,11457856.859588621,10.071894982750884,,,6.0,2436506880.0,3.47,4.348703170028818,8.931908816488416
QGEN,1,,Healthcare,85353535.22905985,7.747863008303934,64.99839156401538,6.563096996968437,28.0,10003499008.0,1.45,30.234482758620693,7.290532193956324
QRVO,0,,Technology,132669895.13412477,5.498091612543351,43.3152243197637,6.8694910000420055,9.0,10314761216.0,-0.92,-115.17391304347825,22.138991778367224
QS,2,,Consumer Cyclical,152261696.61087355,,,,4.0,3255580672.0,-0.98,-6.7857142857142865,-41.8656981399645
QSG,1,,Consumer Defensive,1478093.4499518075,35.199830181567584,87.62520132850928,32.463285238923255,1.0,149684464.0,0.11,24.09090909090909,
QSI,0,,Healthcare,1098054.5649790764,,,,4.0,242354880.0,-0.76,-2.25,-29.791376694076234
QSR,0,2.8900001,Consumer Cyclical,96534841.8347168,14.433298357790958,40.33959039512803,14.879965464691624,10.0,34110251008.0,2.9,26.258620689655174,8.889022579893899
QTWO,2,,Technology,24805353.44810486,18.626669150281394,44.59697677446149,21.400077316887245,10.0,2553554176.0,-1.37,-31.788321167883208,15.570375505376367
QUBT,1,,Technology,662528.1752049923,,,,17.0,69765304.0,-0.4,-2.3225,39.849135920425944
QURE,0,,Healthcare,6017144.486268362,608.5691469471775,97.3647125688908,575.4538195365386,10.0,270134976.0,-4.79,-1.1795407098121087,-0.8723611170507098
RAMP,2,,Technology,22127849.631652832,16.196002707343247,67.74343020346335,23.5309078189291,41.0,2651226112.0,-0.98,-41.295918367346935,10.539371505902931
RAPT,2,,Healthcare,10586824.735794067,-42.164020496905465,,,5.0,794208256.0,-2.89,-7.989619377162629,9.22966930342336
RARE,0,,Healthcare,45847314.72816467,16.524349581535837,95.12954126990331,13.248300979523858,10.0,3581009152.0,-8.97,-4.861761426978818,28.280496928365302
RBA,0,1.7500000000000002,Industrials,47239997.81265259,12.62174739624562,55.97925131087348,12.22687308323136,26.0,11284626432.0,1.02,60.3921568627451,18.27020387062156
RBLX,0,,Communication Services,269232270.6075033,61.833502411415985,74.5102747971584,62.93928038588462,3.0,25460944896.0,-1.83,-22.306010928961747,-5.882629245390749
RBOT,1,,Healthcare,376073.05240233743,,,,4.0,71389688.0,-0.53,-0.770188679245283,-52.76113572305686
RC,0,10.89,Real Estate,12501982.593866985,11.471061822292416,,,11.0,1688690176.0,2.36,4.122881355932204,-3.78756394548534
RCKT,0,,Healthcare,20227133.543548584,,,,9.0,2510925312.0,-3.19,-8.730407523510973,35.424366435656225
RCL,0,,Consumer Cyclical,291582446.22599286,223.18672311150266,-24.48523920845103,-97.76105318383499,31.0,32154931200.0,3.28,38.25914634146341,24.33484584935762
RCM,0,,Healthcare,44428602.766621895,19.30105581351288,20.259927571374643,20.291935993895894,7.0,4379155968.0,-0.08,-130.625,18.786395268913843
RCUS,0,,Healthcare,11857713.811073303,160.13423043449154,,,6.0,1141547904.0,-4.0,-3.8125,30.03234796980802
RDFN,0,,Real Estate,48586768.373438515,67.90192186622531,19.906200862994172,22.40730713961193,7.0,944984384.0,-1.84,-4.456521739130435,56.36583733021092
RDHL,0,,Healthcare,766990.5966031551,2.655981631415888,43.70760084170255,5.322363538149688,11.0,21248568.0,-8.0,-0.135,-38.817694964593784
RDN,2,3.08,Financial Services,28505002.373669945,-9.010988464250353,,,32.0,4469209088.0,3.87,7.540051679586563,15.716542804674493
RDNT,2,,Healthcare,15843001.10460917,15.71846208628197,12.018881326056047,33.725334583747355,27.0,2560988416.0,0.06,628.6666666666666,39.41161743535254
REAL,0,,Consumer Cyclical,4454655.900430679,42.4801287577104,59.5951669434456,36.65258063954574,5.0,198437760.0,-1.84,-1.0434782608695652,-16.33909071680494
REAX,2,,Real Estate,1217736.0215059915,424.28405776974455,10.164844696579218,301.5176463676067,3.0,496314016.0,-0.13,-21.0,-9.581877804478811
REG,0,4.31,Real Estate,86358241.72749838,9.86076204460672,70.97145875198935,11.997621872708775,31.0,11549970432.0,2.12,29.34433962264151,7.040181416763593
REGN,6,,Healthcare,579150060.2351887,32.442282247824345,86.2783868675433,31.32636365037153,33.0,103307902976.0,35.09,27.023083499572525,19.178770874857214
REI,0,,Energy,2882056.8929958344,75.28772492405129,48.543639556887115,200.62379016006298,17.0,266056800.0,0.27,5.037037037037037,17.93347363409746
REKR,2,,Technology,3385725.2611796064,48.72349627234499,55.97759235603479,25.72037739660168,7.0,242706336.0,-0.66,-5.3181818181818175,135.1868532088522
RELX,2,1.68,Industrials,40932978.76075745,9.977398240631363,64.6841177621782,9.459130438478624,30.0,78059298816.0,1.16,35.70689655172414,16.210170800332946
RELY,0,,Technology,23136810.448201496,60.493260387512684,48.467901629340474,65.17139464542569,3.0,3029185024.0,-0.57,-28.701754385964914,12.567800101644305
RENT,1,,Consumer Cyclical,973611.0634962718,12.060553170028836,,,3.0,42270372.0,-1.71,-0.3515204678362573,-72.63260518166076
REPL,0,,Healthcare,11843500.601180395,,,,6.0,458300192.0,-3.07,-2.5276872964169383,22.35014062234594
RES,0,2.32,Energy,9894263.801050186,64.87697378203613,15.159892941330677,359.63502708674275,40.0,1491973248.0,1.11,6.216216216216216,7.007281501778884
REXR,0,2.8399997999999997,Real Estate,68872456.85930887,38.27959450300208,76.06339334569118,38.552592994572485,11.0,11602357248.0,1.05,50.99999999999999,19.540128022076583
REZI,0,,Industrials,12323135.440368652,12.123187716971184,26.903827892009105,16.064827636609813,6.0,2436747776.0,1.12,14.89285714285714,7.259967019193974
RF,0,4.99,Financial Services,175469584.91530097,7.309588694148306,,,44.0,17787000832.0,2.11,9.123222748815166,9.242800680151246
RGEN,2,,Healthcare,110736095.80668132,51.30646151517237,57.479303082052375,51.55850928283361,38.0,10147466240.0,2.04,89.09313725490196,38.17699902338853
RGNX,0,,Healthcare,9372021.722857157,64.13294457261756,72.49530077584076,83.01437248953106,9.0,615448064.0,-5.99,-2.335559265442404,-14.205717854527688
RGTI,2,,Technology,2573823.633170128,394.99405415449013,70.66009382109702,479.05964307992394,3.0,159845248.0,-0.67,-1.626865671641791,-28.899423484844625
RH,0,,Consumer Cyclical,147696276.16271973,11.690936829592061,46.9303522262223,19.562086961163036,12.0,4816116224.0,9.49,27.854583772391987,33.29966650705454
RHI,0,2.3699999,Industrials,83709721.94229126,19.246148395280503,41.28824973975125,24.35998634136356,44.0,8587025408.0,4.42,18.346153846153847,14.62359906312875
RIG,0,,Energy,80454372.8458023,-9.08264022941938,72.54955264619144,-11.02945040146534,31.0,4643837440.0,-1.63,-3.5214723926380374,11.332664994586025
RIGL,0,,Healthcare,1142331.116177241,8.981596194080987,98.99859042117832,8.753886004963485,24.0,213603248.0,-0.14,-8.75,-2.8840783129633207
RILY,0,19.74,Financial Services,21767107.191874187,33.88731592676081,84.2368524710946,32.10494768744342,17.0,618692032.0,-2.65,-7.633962264150944,30.750217426110567
RIO,0,5.7800002,Basic Materials,182345217.53326416,14.91193518766099,65.91477811861444,15.270972888308092,34.0,112846274560.0,5.27,13.197343453510436,9.819084348261592
RIOT,0,,Financial Services,341829665.7687187,843.3241870195733,45.00781425540839,1049.7474674815542,8.0,2079606016.0,-1.8,-5.594444444444444,338.8180493935812
RITM,2,9.120000000000001,Real Estate,38727561.87057494,-527.0220268820276,,,11.0,5300857856.0,1.45,7.565517241379311,-2.0351681112003326
RIVN,0,,Consumer Cyclical,506625353.717041,,,,3.0,14691394560.0,-6.02,-2.548172757475083,-27.46670740568687
RJF,6,1.6,Financial Services,103171367.13439943,13.477980954215596,,,41.0,23620722688.0,7.97,14.119196988707655,19.071948740215127
RKLB,0,,Industrials,29179485.695101418,158.01550236249656,-9.216881148837984,-593.5751389353247,4.0,2444011776.0,-0.36,-13.972222222222223,-0.3838062332712961
RKT,0,,Financial Services,34558888.640060425,-36.57868300724864,,,4.0,23847600128.0,1.802,6.659267480577136,8.69850550420945
RL,0,2.16,Consumer Cyclical,103370296.75974528,5.455858635524594,63.91877107160812,7.9038222201020485,27.0,8985939968.0,7.83,17.756066411238827,8.348092749243065
RLAY,0,,Healthcare,9702866.666666666,-75.37136037700363,,,4.0,1255500800.0,-2.67,-3.689138576779026,-34.58780222914716
RLJ,2,3.1300000000000003,Real Estate,15736522.491874695,59.00106066646792,16.43159646994602,-424.52737848573815,13.0,3603329280.0,0.31,37.16129032258064,-5.391859287861328
RLMD,0,,Healthcare,1435260.0320180259,,,,10.0,105648192.0,-3.71,-0.9460916442048517,126.88490854234078
RLX,0,2.31,Consumer Defensive,11348140.617599487,42.831594350430215,42.10383328640793,51.58114369519302,3.0,2717466880.0,0.01,173.0,-27.034560074246972
RMBS,6,,Technology,102083812.1149699,35.90523102483474,76.74725397603237,36.80281538599366,27.0,7887935488.0,2.62,28.00381679389313,57.42163905151706
RMD,1,1.1199999999999999,Healthcare,139733375.90820312,12.68663611094297,56.99432442779176,11.167184310542371,29.0,25267464192.0,6.15,27.93170731707317,11.670560007418471
RNA,1,,Healthcare,10967529.82755661,18.158018724914708,,,4.0,806859392.0,-3.0,-3.3866666666666667,-24.24008779970588
RNAC,1,,Healthcare,616922.8777313232,221.40630844086502,,,8.0,126190488.0,,,-15.99772167917546
RNAZ,0,,Healthcare,537787.6019351641,,,,3.0,792277.0,-652.0,-0.0011503067484662577,-86.13904074816833
RNG,1,,Technology,44429797.87536621,29.705254751252575,70.7567627612439,25.378822558267412,11.0,3345833984.0,-4.21,-8.477434679334916,18.702861919638373
RNLX,0,,Healthcare,121892.79649257657,,,,4.0,15983836.0,-1.0,-0.3199,-56.002793875872605
RNW,0,,Utilities,3175026.602824529,18.166959451401567,97.14568143968181,14.690585165811576,3.0,2389120768.0,0.08,81.75,4.983404997773649
ROI,0,,Communication Services,2618478.811148106,765.4950630761973,,-21.308058639044525,14.0,394988.0,,,-25.81465392779191
ROIC,1,4.34,Real Estate,15738514.058634443,5.071277840525157,72.98505531887179,4.250779278362654,15.0,1742607616.0,0.29,47.689655172413794,0.6876673991213165
ROIV,0,,Healthcare,48581561.44661585,71.59236681096158,84.57162099996123,58.51908765577053,4.0,8360778240.0,-1.47,-7.07482993197279,6.31053358556269
ROK,0,1.66,Industrials,179835734.30664062,12.72392479202383,40.854631562505396,12.844157487375277,43.0,34414702592.0,11.95,25.133891213389123,18.38012434880425
ROKU,0,,Communication Services,479158403.3630371,34.273437968038614,47.49720160155226,38.29663122334415,7.0,12572422144.0,-6.19,-14.253634894991922,99.34929686212737
ROL,3,1.39,Consumer Cyclical,62725482.13155111,11.686406013152483,51.66345306208884,11.681396708703796,44.0,20954005504.0,0.83,52.1566265060241,16.494897801497814
ROMA,0,,Industrials,9920626.276298761,-0.07184670819572192,50.71038372782812,-17.352457155407613,0.0,10842312.0,,,
ROP,2,0.5499999999999999,Technology,245760897.91463217,5.999963041505218,68.34761485013861,7.783548704372533,32.0,58513887232.0,11.56,47.38494809688581,16.544516946151592
ROST,3,0.97,Consumer Cyclical,229252927.52685547,9.305013327458415,25.62427988156901,14.793978571253849,39.0,46705672192.0,5.04,27.52579365079365,11.853410239739286
ROVR,2,,Communication Services,27019927.529347733,91.75074339852631,70.54148880890138,123.53857487615227,3.0,1988968576.0,0.06,182.33333333333334,67.04939452322968
RPAY,0,,Technology,4044902.309589386,34.3874053900173,74.91487494960865,37.54696795962755,6.0,730438976.0,-0.49,-15.387755102040817,10.236152001260907
RPD,0,,Technology,36015643.399505615,29.035513544187076,69.20848987379738,27.41672548193348,9.0,3391259904.0,-2.98,-18.520134228187917,33.634276806827316
RPHM,1,,Healthcare,956132.7701481183,,,,3.0,54964468.0,-2.36,-0.6991525423728814,-52.03950417158696
RPID,1,,Healthcare,631334.3858885766,9.125994551916222,-44.455966661039014,3.116475596354035,3.0,40708496.0,-1.34,-0.7163432835820895,-61.946486425802895
RPM,0,1.73,Basic Materials,79234382.88630167,9.637281143782573,37.883688464887584,9.676158271816309,44.0,13727444992.0,4.08,26.1078431372549,14.22950883684724
RPRX,1,2.8900001,Healthcare,69280192.55435942,2.7958503921007294,,,4.0,17435932672.0,0.39,74.56410256410255,-16.709929292775698
RQI,0,8.180001,Financial Services,6414366.921265921,-684.268881980224,,,22.0,1576875648.0,-0.35,-33.51428571428572,8.6900797642751
RRC,0,1.0699999999999998,Energy,72931599.05370077,75.02480120270847,35.381216860363544,4519.220183329432,44.0,7186062848.0,5.51,5.404718693284937,43.386182392422896
RRR,2,1.87,Consumer Cyclical,23606927.594604492,19.831392312828953,62.69075774968916,28.660562036443938,8.0,3115570432.0,3.48,15.330459770114944,29.637152394473596
RSG,2,1.26,Industrials,158508862.70304364,15.431644870599893,39.846285379421715,14.437515397185264,26.0,53280628736.0,5.16,32.81782945736434,19.385304577158774
RSI,2,,Consumer Cyclical,6193093.177585602,48.295465470031154,31.132178410763277,45.91184154380164,4.0,1184672384.0,-0.39,-13.666666666666666,-25.65343926348332
RSKD,0,,Technology,2665015.9665584564,24.503373551011663,53.35481260929644,21.169226753000125,3.0,796889280.0,-0.38,-11.76315789473684,-19.961338203953385
RSLS,0,,Healthcare,370666.0047769546,1.5058464309699482,59.10640029271648,7.396317517897977,8.0,4937698.0,-38.56,-0.00545902489626556,-58.122368685849516
RTO,0,1.96,Industrials,18362725.358581543,15.547191997172938,80.14272316301792,16.876227767202046,28.0,12893947904.0,0.77,32.7012987012987,7.999993076162791
RTX,1,2.6400002,Industrials,767125922.142741,8.978718320726664,18.284323966979915,27.92086354220521,62.0,128677666816.0,2.23,40.130044843049326,7.501450989762496
RUM,1,,Technology,58831370.0,211.87582744026722,15.643122429647134,-186.2543485947543,3.0,1591950592.0,-0.42,-13.523809523809524,-34.79891819756216
RUN,0,,Technology,191737519.91472244,59.385528692267684,15.80908356846949,29.509904437630084,9.0,2950081792.0,-5.52,-2.4528985507246377,66.07874463809112
RUSHA,0,1.52,Consumer Cyclical,25710350.745951332,23.388733612474212,20.244987007335904,30.458517102992666,21.0,3529701888.0,4.35,10.289655172413793,28.2170337692098
RVLV,0,,Consumer Cyclical,16361309.09491221,38.538890111114256,53.76814704072617,40.68816624423891,5.0,1095294720.0,0.44,34.5,15.941125339034564
RVMD,0,,Healthcare,29278967.1644338,-5.621524234752695,,,4.0,4517520896.0,-3.26,-8.460122699386503,-7.127947764827532
RVNC,0,,Healthcare,10645603.570404053,239.02528554414585,66.60510772525107,231.98770622980584,10.0,501415104.0,-5.1,-1.119607843137255,-5.288698057064313
RVSN,1,,Industrials,76777664.76773262,,,,2.0,16220694.0,-4.72,-1.1461864406779663,-83.27480277875898
RVTY,0,0.26,Healthcare,79903048.21202596,15.12404764511961,62.878346914155344,11.215104518697267,51.0,13193443328.0,1.7,62.88823529411765,11.841851113125191
RWLK,2,,Healthcare,642743.7939310074,14.090207587284775,44.351857025019,-0.8802978975924303,10.0,57623616.0,-0.36,-2.6666666666666665,-26.378971875174546
RWT,0,9.25,Real Estate,6346309.256070455,-173.98594159420188,,,29.0,909980032.0,-0.66,-10.484848484848484,-5.213592627127872
RXO,0,,Industrials,11287456.362279253,20.98011031465463,23.145759857675472,22.01324763111836,2.0,2588062208.0,-0.02,-1106.0,35.2325534717403
RXRX,2,,Healthcare,80449610.06254831,244.9036815118664,39.1711398402258,-185.94,3.0,2236454656.0,-1.46,-7.095890410958904,-13.55269178714935
RXST,3,,Healthcare,26365637.145843502,85.41385301746558,25.04367724155223,268.5492408282299,3.0,1665412608.0,-1.71,-27.157894736842106,115.42713138718206
RXT,0,,Technology,2269567.2669410706,7.459378155621854,31.645414263296676,-6.68223388186191,4.0,415501440.0,-5.04,-0.38095238095238093,-46.54376815608277
RY,0,4.1500002,Financial Services,115126724.1068522,6.321565933072604,,,29.0,138314022912.0,7.81,12.526248399487837,8.937105371508625
RYAAY,0,0.75,Industrials,78842753.54054768,79.06238701828978,1.773677330072899,495.9058459625287,27.0,29336430592.0,10.57,12.175023651844842,18.565201388592524
RYAM,1,,Basic Materials,2291438.849283854,13.372619928828422,5.732002111311921,41.26269617630277,10.0,277056000.0,-0.56,-7.571428571428571,0.7476593751143057
RYAN,3,,Financial Services,27416942.744547527,30.557691761230977,,,3.0,11531722752.0,0.46,96.32608695652173,3.2562638986542662
RYN,0,3.6900000000000004,Real Estate,18937112.79092153,5.539038971972621,23.205365200094278,42.04689168806977,30.0,4662418944.0,0.53,58.35849056603773,5.679013131463803
RYTM,0,,Healthcare,31118961.768722534,,,,7.0,2745623296.0,-3.24,-14.339506172839506,39.623823217717636
RYZB,0,,Healthcare,45060365.55493672,,,,1.0,3716815616.0,-1.08,-57.34259259259259,
S,0,,Technology,176736618.92130536,108.81898024370138,61.064298899940084,115.28848789882984,3.0,7723736064.0,-1.24,-20.85483870967742,8.485417794225683
SA,0,,Basic Materials,4764478.32151413,,,,20.0,868440192.0,-0.3,-34.36666666666667,1.5788510334257233
SABR,1,,Consumer Cyclical,14932788.683319092,38.406031448466614,-5.871841677241446,-454.1435634879581,10.0,1646947584.0,-1.84,-2.358695652173913,-25.626463325315164
SAGE,1,,Healthcare,27869925.31138102,-38.79428902299672,93.53499058306205,-40.02831913962517,10.0,1593428608.0,-10.98,-2.414389799635701,-21.83067937819743
SAI,0,,Financial Services,335734.25847689307,366.52759952309555,21.40865557231003,15.161455555867414,3.0,19103732.0,-0.5,-1.6024,-60.18459395909433
SAN,0,3.7199999999999998,Financial Services,12043392.086791992,7.764694479423573,,,37.0,64215601152.0,0.66,6.0606060606060606,0.791138971274259
SANA,2,,Healthcare,40035154.95301247,,,,3.0,1048747520.0,-1.43,-3.7202797202797204,-35.59603350483324
SAND,0,1.27,Basic Materials,8523468.234157562,26.48099929137996,49.21316218639612,20.571464521317417,14.0,1386527616.0,0.01,467.0,4.956861756324374
SAP,2,1.28,Technology,122615604.46451823,6.361417430335403,71.22502614062459,6.2625872340378415,29.0,204241305600.0,1.99,87.74371859296483,12.56475366157835
SASI,1,,Technology,4165711.7778905234,21.361455771753015,45.761266045876255,166.12709821818385,14.0,2786110.0,-10.95,-0.32602739726027397,4.72428597875714
SATS,0,,Technology,83852842.36139932,2.902063720490078,59.320664011899424,-0.18769783615718572,16.0,3995184640.0,1.11,13.26126126126126,-3.7068349269703234
SAVA,1,,Healthcare,23875952.420043945,,,,24.0,1054232960.0,-2.29,-10.899563318777293,205.49599852168393
SAVAW,0,,Healthcare,12231303.580977697,,,,0.0,,,,
SAVE,0,,Industrials,314607479.23444116,67.68695452738235,0.5930771885898191,31.50297341252739,13.0,775092800.0,-4.91,-1.446028513238289,-21.418426915474942
SB,2,4.78,Industrials,3838671.180782318,36.166010941527084,45.179420204725375,256.27678357129184,16.0,466471264.0,0.66,6.333333333333333,34.84321818579153
SBAC,0,1.5,Real Estate,171984202.9001872,12.44716729786437,76.03598368546163,10.590225121705188,25.0,24520556544.0,4.55,49.95164835164835,13.27543349882481
SBGI,1,6.329999999999999,Communication Services,7946199.962298076,-16.37480858943574,43.6681924600641,-16.98335645186728,29.0,1004165824.0,1.7,9.3,-10.443439209224959
SBH,0,,Consumer Cyclical,17681664.41960653,2.1458379899211804,50.10978314180393,3.671627038725086,18.0,1249232384.0,1.69,6.9230769230769225,-1.2105601975372604
SBLK,0,7.26,Industrials,25220667.89089203,53.29379827709783,38.13827753475911,336.50532152809427,17.0,1816445312.0,3.16,6.841772151898734,31.219995274046642
SBRA,0,9.08,Real Estate,24378603.652763367,2.427318661602368,75.73474571165792,-0.18859885433091805,22.0,3054416128.0,-0.38,-34.76315789473684,-0.9115618691112963
SBS,3,1.73,Utilities,15439822.201188406,11.336800542843816,35.48209248527351,8.128443855757627,22.0,10580000768.0,1.09,14.146788990825687,23.42398930162125
SBSW,0,8.01,Basic Materials,22963480.041821796,7.739015930175464,30.930775068362625,0.039205604466918675,11.0,3325917184.0,1.02,4.6078431372549025,45.15343344188237
SBUX,0,2.48,Consumer Cyclical,693453196.07076,15.364906668293301,25.927879343821672,27.747907153490655,32.0,104621875200.0,3.58,25.70949720670391,9.826215270748737
SCCO,0,4.8,Basic Materials,77980021.52893066,14.414897400540227,47.962804754434245,31.956680152497878,28.0,64361410560.0,3.72,22.379032258064516,25.30005808191968
SCHW,0,1.5800001000000001,Financial Services,640440455.7872517,35.2591427789703,,,37.0,115697377280.0,2.54,24.992125984251967,13.247080235736467
SCI,1,1.68,Consumer Cyclical,53968554.074910484,8.577635419995966,29.28454024962113,11.356375871275192,44.0,10185540608.0,3.2,21.54375,12.395983005492337
SCLX,0,,Healthcare,1285385.3962397575,27.186431408208513,83.62897609846102,13.841128410169123,3.0,243175232.0,-1.16,-1.3275862068965518,-54.5655727134194
SCRM,2,,Financial Services,9940115.024388632,,,,2.0,992812544.0,0.34,31.14705882352941,6.639847373725694
SCS,0,3.1400003,Industrials,10097324.49529012,-2.297968456202655,29.480329565917245,-5.554491279207626,26.0,1455188224.0,0.63,20.22222222222222,8.447924210374376
SD,1,2.79,Energy,6247994.818369548,48.719104108902535,45.82538126055857,1388.4598972724218,8.0,531147392.0,4.42,3.239819004524887,41.865911371922174
SDGR,0,,Healthcare,23172849.444071453,29.397027248882146,54.04012362747358,28.667092318392974,4.0,1955690496.0,0.56,48.48214285714285,-3.6015696601171925
SDIG,0,,Financial Services,8429750.675182343,446.8215091477407,73.62773534083237,355.65511081878356,3.0,58491984.0,-325.76,-0.015133840864440078,-21.935766650916598
SDRL,0,,Energy,23978384.34199015,-5.619146722164414,-18.90022911176455,-88.23529411764706,2.0,3352609280.0,60.76,0.7544437129690587,44.85294014524834
SE,0,,Consumer Cyclical,247497448.73006183,76.28505121571216,37.20331244485336,110.95429826088218,7.0,22329477120.0,1.21,32.446280991735534,112.73794916428373
SEAS,0,,Consumer Cyclical,38722765.81759135,131.69666108334027,92.02894707669783,133.2828394106382,11.0,3204873216.0,3.79,13.224274406332453,25.943761816518577
SEAT,0,,Communication Services,9172203.622500103,599.2672846957126,61.91704518121944,1661.681950444909,3.0,1229090816.0,0.56,10.44642857142857,-23.16453408106886
SEDG,0,,Technology,207352739.29667154,46.47694796812863,30.272417283363307,35.31083897317588,9.0,3988146176.0,3.7,18.972972972972972,65.68689081992972
SEE,0,2.25,Consumer Cyclical,59314473.51013182,7.4072192255533515,31.5401276518665,4.961198875429718,44.0,5143366144.0,2.13,16.71830985915493,4.755533537623581
SEIC,2,1.43,Financial Services,41490590.00590007,8.850584288826758,55.129363640489125,5.54182474610232,43.0,8499268608.0,3.37,19.166172106824927,8.041961249548292
SEM,1,1.9299999,Healthcare,23772154.78904724,7.121067835763761,13.748271953383686,-4.147693123057855,15.0,3322024704.0,1.77,14.638418079096045,11.19022837948056
SEMR,0,,Technology,6129183.516807556,42.91254994762104,78.21174298486757,47.356360313490256,3.0,1675802752.0,-0.14,-83.57142857142856,3.4270135896299223
SENS,0,,Healthcare,1111200.6339788437,98.08244163594809,-113.39886471406328,-265.72909591470386,9.0,275709856.0,-0.09,-5.798888888888889,6.1345120850471275
SES,0,,Consumer Cyclical,861234.7244699796,,,,3.0,446695808.0,-0.17,-7.470588235294117,-55.123234639301856
SF,2,1.96,Financial Services,37195114.56059773,9.600622764982564,,,41.0,7484466176.0,4.28,17.14485981308411,22.42754667587085
SFIX,0,,Consumer Cyclical,4386330.0,0.148636552616066,43.7985739902909,-0.7891540970437538,7.0,384324672.0,-1.29,-2.527131782945736,8.486857117015356
SFL,4,8.189999,Industrials,8553686.917063396,19.785247999886145,42.414622402109096,17.012256143725946,20.0,1678472192.0,0.78,15.653846153846155,9.304300427924733
SFM,5,,Consumer Defensive,57327447.476577766,-0.35656121045019584,36.556903544761376,-0.4202292139248831,11.0,4985629696.0,2.43,20.20164609053498,18.306335330311132
SFNC,0,4.17,Financial Services,8672256.344604492,1.59534194262978,,,39.0,2537479680.0,1.85,10.956756756756755,-1.2974097434504088
SFWL,0,,Industrials,1907803.785560131,13.710307608494398,11.884984801890667,7.68966217671585,1.0,157384000.0,0.14,13.64285714285714,
SG,0,,Consumer Cyclical,15820806.666666666,46.187478152811835,7.56073686515974,-246.41988504065836,3.0,1152366464.0,-1.21,-8.47107438016529,-20.68171740726099
SGD,0,,Real Estate,3160043.0173198385,,,,1.0,11220000.0,-1.32,-0.8333333333333334,
SGH,2,,Technology,30826211.038360596,9.846285144648832,24.661538073133777,26.821319179829416,7.0,1150109952.0,,,16.94376566522778
SGHC,0,,Consumer Cyclical,1291754.1764895122,21.644897565232974,66.88761018457797,20.771986627920974,4.0,1550428160.0,0.1,31.099999999999998,-22.0225594205054
SGML,0,,Basic Materials,23402307.063827515,,,36.96141641252682,6.0,2510142208.0,-0.77,-29.57142857142857,118.06512265480224
SGMO,0,,Healthcare,620402.9835649331,-2.8988992817969628,,,24.0,78351904.0,-1.46,-0.3026027397260274,-26.696188721602994
SGMT,1,,Healthcare,47655683.55626424,,,,1.0,371600448.0,-1.18,-13.754237288135593,
SGN,0,,Technology,598842.7002668381,-77.02648804635994,-473.7649801223111,331.4009720980913,1.0,9507195.0,,,
SGRY,0,,Healthcare,25729772.022857666,16.87165730561171,21.71425181625179,23.188076624095576,9.0,3889659648.0,-0.33,-93.18181818181817,39.26236822698432
SHAK,0,,Consumer Cyclical,62974705.64086914,31.60590878887667,41.49370245886808,34.28637058934518,9.0,3002201344.0,0.04,1774.25,18.922823970366643
SHC,0,,Healthcare,11366873.039995829,10.801357022737157,55.13147003545351,12.160573735393953,4.0,4134774528.0,-1.1,-13.299999999999999,7.825360074160865
SHCR,0,,Healthcare,712376.4948781332,16.36019008503401,49.32420864221297,11.113365365959222,4.0,370045184.0,-0.34,-3.088235294117647,-51.42187787494837
SHEL,0,4.31,Energy,324855669.2628057,45.329399779471345,9.056973915134435,-128.05767352740537,30.0,199759134720.0,8.42,7.299287410926366,6.213022221534899
SHLS,0,,Technology,46281882.51913071,37.40809867130065,38.94652941973871,41.538941528088635,3.0,2304272384.0,0.86,15.755813953488373,-17.742937733166126
SHO,0,2.8800000999999997,Real Estate,19679374.462108612,84.59023880295176,33.24213975137214,678.7526023274074,20.0,2140726528.0,0.4,26.049999999999997,-2.9303426312704595
SHOO,2,2.0,Consumer Cyclical,24736515.11388143,34.49406029832436,40.320148410459815,39.5357505587265,31.0,3135036672.0,2.23,18.84304932735426,11.202721479856033
SHOP,2,,Technology,849737561.7414347,39.42589797385758,51.867295848499275,35.97818201565373,9.0,103678312448.0,-0.9,-89.7,88.63776204727228
SHOT,0,,Consumer Defensive,5421520.341653824,142.67377142370367,25.52389775625673,56.533846272305055,4.0,99026216.0,-0.71,-3.056338028169014,86.61542783267903
